season,country,page_name,value
2007-2008,italy,Febbre,13.92291398697039
2007-2008,italy,Bronchite,3.1717298877832207
2007-2008,italy,Influenzavirus_A,2.79491365736407
2007-2008,italy,Disfagia_orofaringea,2.2342333570293853
2007-2008,italy,Influenzavirus_A_sottotipo_H1N1,1.8477711473634717
2007-2008,italy,Segno_di_Nikolsky,1.4772523284426002
2007-2008,italy,Disbasia,1.4739504249188349
2007-2008,italy,Hantavirus,1.4125845597827986
2007-2008,italy,Broncospasmo,1.392171859956784
2007-2008,italy,Gammaretrovirus,1.357241466994746
2007-2008,italy,Secernentea,1.2355145572874449
2007-2008,italy,Febbre_ricorrente,1.1436302297750245
2007-2008,italy,Influenza,1.1005278368673777
2007-2008,italy,Faccia_ippocratica,0.9229307260470422
2007-2008,italy,Retroviridae,0.8753115029214779
2007-2008,italy,Hepadnaviridae,0.871829323739434
2007-2008,italy,Epatite_B,0.8329189747077049
2007-2008,italy,Phycodnaviridae,0.7749268061888737
2007-2008,italy,Tymovirales,0.7641888646772769
2007-2008,italy,Geminiviridae,0.7508869003022005
2007-2008,italy,Fago_lambda,0.74285358134062
2007-2008,italy,Zoonosi,0.5465416801977726
2007-2008,italy,Segno_di_Kehr,0.5115657798126777
2007-2008,italy,Polyomavirus,0.51105394504729
2007-2008,italy,Fascioliasi,0.48305483933406074
2007-2008,italy,Japanese_encephalitis_virus,0.4260175859195228
2007-2008,italy,Diarrea,0.4252151077563788
2007-2008,italy,Rumori_respiratori,0.39158395807969315
2007-2008,italy,Polipnea,0.3579203800043413
2007-2008,italy,Segno_di_Abadie,0.34299097356664027
2007-2008,italy,Areflessia,0.3066580639020355
2007-2008,italy,Alpharetrovirus,0.29138521033395715
2007-2008,italy,Oliguria,0.2874255488849324
2007-2008,italy,Noduli_di_Heberden,0.28293758033277033
2007-2008,italy,Egobroncofonia,0.2775900568195499
2007-2008,italy,Livedo_reticolare,0.27663985503619537
2007-2008,italy,Parodontite,0.27206316250149737
2007-2008,italy,Usutu_virus,0.26963333382349297
2007-2008,italy,Virus_del_pipistrello_di_Entebbe,0.22353870438224724
2007-2008,italy,Allucinazione_uditiva,0.19786278769158422
2007-2008,italy,Cervarix,0.18437239688112944
2007-2008,italy,Lipoatrofia,0.1724246853927376
2007-2008,italy,Fecaluria,0.16336157896288575
2007-2008,italy,TYMV,0.13834038163769558
2007-2008,italy,Flavivirus,0.11197334950740634
2007-2008,italy,Peste_equina_africana,0.07475982687056848
2007-2008,italy,Undressing_paradossale,0.07103702078138571
2007-2008,italy,Sputnik_(virofago),0.05497220989664093
2007-2008,italy,Verruca,0.024885453270100576
2007-2008,italy,Bacillo_di_Calmette-Guérin,0.024596385068030264
2007-2008,italy,Influenza_suina,0.00861901376730913
2007-2008,italy,Vaccino_della_parotite,0.00019439249622770388
2007-2008,italy,Quarta_malattia,-0.0048130853953595445
2007-2008,italy,Echinococcosi_alveolare,-0.005580418247367601
2007-2008,italy,Infiltrazione_(medicina),-0.017825947989900472
2007-2008,italy,Dracunculiasi,-0.018535385711023318
2007-2008,italy,Ipersensibilità_del_seno_carotideo,-0.02544007801860525
2007-2008,italy,Sindrome_di_Trousseau,-0.0348449461732701
2007-2008,italy,Febbre_emorragica_boliviana,-0.036276552879592396
2007-2008,italy,Virus_di_immunodeficienza_delle_scimmie,-0.04175219340762551
2007-2008,italy,Enzimuria,-0.05767761292497333
2007-2008,italy,Vaccino_subtilico,-0.061200558389807556
2007-2008,italy,Contrazione_tetanica,-0.06599517197921892
2007-2008,italy,Trasmissione_oro-fecale,-0.06766182268686555
2007-2008,italy,Lesioni_endo-parodontali,-0.06847323526196784
2007-2008,italy,Respiro_patologico,-0.08758872640119651
2007-2008,italy,Linfonodo_di_Virchow,-0.11806167804763072
2007-2008,italy,Deficit_di_polso,-0.13771999188212602
2007-2008,italy,Encefalite_californiana,-0.17149927437430104
2007-2008,italy,Unghia_di_Plummer,-0.20099209587296255
2007-2008,italy,Vaccino_antiencefalite_giapponese,-0.22969512964185626
2007-2008,italy,Pagina_principale,-0.2330560340720168
2007-2008,italy,Rettorragia,-0.23789224482703192
2007-2008,italy,Singhiozzo,-0.2382220501203169
2007-2008,italy,Cystoviridae,-0.29522759457691655
2007-2008,italy,Bourbon_virus,-0.30132821308923075
2007-2008,italy,Dirofilariasi,-0.3097612307917962
2007-2008,italy,Digito-compressione,-0.31918395652400455
2007-2008,italy,Baculoviridae,-0.36233675649711944
2007-2008,italy,Bubbone,-0.37497063705938627
2007-2008,italy,Mastite_luetica,-0.39838218594334107
2007-2008,italy,HTLV,-0.43344656828424777
2007-2008,italy,Fago_T2,-0.47086914820700204
2007-2008,italy,Sindrome_respiratoria_mediorientale_da_Coronavirus,-0.4806223139502638
2007-2008,italy,Tosse,-0.5164782878124108
2007-2008,italy,Melena,-0.5230127391984323
2007-2008,italy,Iridoviridae,-0.5328755612156112
2007-2008,italy,Febbre_emoglobinurica,-0.5588640891119162
2007-2008,italy,Epistassi,-0.5603478244383348
2007-2008,italy,Picornavirales,-0.5604566962851654
2007-2008,italy,Soffio_cardiaco,-0.6738693856285416
2007-2008,italy,Feoifomicosi,-0.6809719415392461
2007-2008,italy,Tifo_murino,-0.7009804262232663
2007-2008,italy,Melioidosi,-0.7144162749333713
2007-2008,italy,Vaccino_pneumococcico,-0.7224175370061647
2007-2008,italy,Dissenteria,-0.7505137176094164
2007-2008,italy,Paracoccidioidomicosi,-0.7892630614314572
2007-2008,italy,Virus_del_sarcoma_di_Rous,-0.8546047125652666
2007-2008,italy,Coilonichia,-0.8661598265715083
2007-2008,italy,Caliciviridae,-0.8860750748476532
2007-2008,italy,Dermatomicosi,-0.9889042729618172
2007-2008,italy,Degrado_ambientale,-0.9927371434496793
2007-2008,italy,Angioma_stellare,-1.0550835100211415
2007-2008,italy,Epidemia_di_peste_in_Madagascar_del_2014-2015,-1.2475252316589132
2007-2008,italy,Sincope_(medicina),-1.4631048199283498
2007-2008,italy,Tsutsugamushi,-1.6326960128533792
2007-2008,italy,Nodulo_di_Sister_Mary_Joseph,-1.6588466990325976
2007-2008,italy,Raffreddore,-1.7251118716494456
2007-2008,italy,year,-1.8098595981200956
2007-2008,italy,Encefalite_trasmessa_da_zecche,-1.966009519179384
2007-2008,italy,Mixomatosi,-2.5648167431373174
2007-2008,italy,Vomito,-6.837377463147605
2008-2009,italy,Febbre,13.62053598847521
2008-2009,italy,Bronchite,4.890827013637661
2008-2009,italy,Polipnea,3.1808210490148934
2008-2009,italy,Influenza_suina,2.9497829037058962
2008-2009,italy,Influenzavirus_A_sottotipo_H1N1,2.479019841671308
2008-2009,italy,Epatite_virale,2.0247345749336927
2008-2009,italy,Disbasia,1.9105256003044124
2008-2009,italy,Malattia_vescicolare_del_suino,1.7574851955352961
2008-2009,italy,Segno_di_Trendelenburg,1.586165471675567
2008-2009,italy,Gammaretrovirus,1.5477165000492803
2008-2009,italy,Hantavirus,1.4871919349159115
2008-2009,italy,Macroglossia,1.4629241762386809
2008-2009,italy,Incontinenza_urinaria,1.3694523876939173
2008-2009,italy,Hepadnaviridae,1.1564133136134802
2008-2009,italy,Fecaluria,1.1533226899857947
2008-2009,italy,Phycodnaviridae,1.0583608612362196
2008-2009,italy,Japanese_encephalitis_virus,1.0294356878626847
2008-2009,italy,Disfagia_orofaringea,0.982866620278301
2008-2009,italy,Cervarix,0.9679178030432578
2008-2009,italy,Fenomeno_di_Koebner,0.9562142428928208
2008-2009,italy,Secernentea,0.954262167702429
2008-2009,italy,Anatossina,0.9075655567755841
2008-2009,italy,Allucinazione_uditiva,0.8719896820341445
2008-2009,italy,Febbre_della_Rift_Valley,0.7329326908084767
2008-2009,italy,Polyomavirus,0.7211980161341189
2008-2009,italy,Distomatosi,0.7084349145680348
2008-2009,italy,Tymovirales,0.676095884398252
2008-2009,italy,Noduli_di_Heberden,0.644492954719019
2008-2009,italy,Macchie_di_Brushfield,0.6352954578361314
2008-2009,italy,Influenza,0.6111592270451393
2008-2009,italy,Geminiviridae,0.6070378326786142
2008-2009,italy,Bacillo_di_Calmette-Guérin,0.5855784350801092
2008-2009,italy,Encefalite_giapponese,0.5768654032753419
2008-2009,italy,Segno_di_Kehr,0.49328898373525726
2008-2009,italy,Livedo_reticolare,0.46544092276068894
2008-2009,italy,Enfisema_sottocutaneo,0.46358620595153816
2008-2009,italy,Oncovirus,0.4633133068512247
