Week,1960-1969,Afweer,Aids,Amantadine,Antigene drift,Antigene shift,Astma,Aviaire influenza,Azerbeidzjan,Aziatische griep,Bloedtransfusie,Borstvoeding,Buikgriep,COPD,Cytostaticum,Darminfectie,Diabetes mellitus,Ebola,Echinacea (plant),Eerste Wereldoorlog,Eiwitmantel,Endemie (geneeskunde),Epidemie,Genetica,Griep,Griepprik,H1N1,H2N2,H3N2,H5N1,H5N2,H7N9,Hemagglutinine,Hiv,Hoest,Hoesten,Hong Kong griep,Hongkong,Hongkonggriep,Hoofdpijn,Immuundeficiëntie,Immuunsysteem,Incubatieperiode,Infectie,Infectieziekte,Influenza,Influenzavirus A,Keel (anatomie),Keelpijn,Koorts,Koude rilling,Koude rillingen,La Gloria (Veracruz),Lijst van longziekten,Marburgvirus,Mexicaanse griep,Morbiditeitsgraad,Mortaliteit,Mutatie (biologie),Neuraminidase,Opportunistische infectie,Orthomyxovirus,Oseltamivir,Palmitoylethanolamide,Pandemie,Pandemrix,Pathogeen,Pokken,Pulmonologie,Recombinatie (genetica),SARS,Spaanse griep,Spierpijn,Steenpuist,Symptoom,Vaccin,Varkensgriep,Verkoudheid,Virologie,Virulentie,Virus (biologie),Virusinfectie,Vogelgriep,Vogelpest,Wereldgezondheidsorganisatie,Ziekte
2012-01,,324.0,,,0.0,0.0,,0.0,1739.0,0.0,848.0,1397.0,3781.0,,22.0,231.0,,,0.0,0.0,38.0,0.0,,,2684.0,91.0,,,,,,,86.0,,838.0,151.0,0.0,,83.0,1384.0,1.0,1573.0,731.0,1297.0,544.0,,,0.0,171.0,6460.0,0.0,0.0,0.0,0.0,,0.0,117.0,240.0,0.0,,0.0,,,,,,449.0,,136.0,0.0,,0.0,1267.0,2173.0,447.0,,102.0,1950.0,133.0,143.0,0.0,6.0,46.0,227.0,384.0,762.0
2012-02,,433.0,,,0.0,0.0,,0.0,1467.0,0.0,993.0,1437.0,3007.0,,17.0,208.0,,,0.0,0.0,44.0,0.0,,,2574.0,80.0,,,,,,,70.0,,799.0,117.0,0.0,,104.0,1455.0,0.0,1980.0,811.0,1334.0,708.0,,,0.0,151.0,5800.0,0.0,0.0,0.0,0.0,,0.0,121.0,259.0,0.0,,0.0,,,,,,520.0,,150.0,0.0,,0.0,1474.0,2029.0,495.0,,82.0,1511.0,152.0,164.0,0.0,2.0,34.0,257.0,438.0,844.0
2012-03,,393.0,,,0.0,0.0,,0.0,1977.0,0.0,1097.0,1447.0,2866.0,,21.0,157.0,,,0.0,0.0,51.0,0.0,,,2582.0,52.0,,,,,,,71.0,,724.0,120.0,0.0,,66.0,1359.0,1.0,1984.0,754.0,1388.0,880.0,,,0.0,141.0,5987.0,0.0,0.0,0.0,0.0,,0.0,132.0,251.0,0.0,,0.0,,,,,,492.0,,150.0,0.0,,0.0,1366.0,1953.0,517.0,,75.0,1699.0,139.0,126.0,0.0,5.0,46.0,293.0,443.0,898.0
2012-04,,317.0,,,0.0,0.0,,0.0,2125.0,0.0,997.0,1234.0,2984.0,,34.0,162.0,,,0.0,0.0,58.0,0.0,,,2419.0,53.0,,,,,,,47.0,,676.0,121.0,0.0,,63.0,1248.0,1.0,1745.0,806.0,1332.0,864.0,,,0.0,155.0,5723.0,0.0,0.0,0.0,0.0,,0.0,133.0,309.0,0.0,,0.0,,,,,,424.0,,138.0,0.0,,0.0,1386.0,1907.0,448.0,,104.0,1635.0,119.0,129.0,0.0,4.0,38.0,255.0,480.0,759.0
2012-05,,349.0,,,0.0,0.0,,0.0,1889.0,0.0,950.0,1270.0,2913.0,,17.0,175.0,,,0.0,0.0,50.0,0.0,,,2707.0,51.0,,,,,,,38.0,,713.0,121.0,0.0,,71.0,1179.0,0.0,1572.0,700.0,1315.0,738.0,,,0.0,132.0,5803.0,0.0,0.0,0.0,0.0,,0.0,94.0,195.0,0.0,,0.0,,,,,,430.0,,142.0,0.0,,0.0,1200.0,1811.0,442.0,,69.0,2211.0,125.0,143.0,0.0,5.0,25.0,234.0,393.0,849.0
2012-06,,383.0,,,0.0,0.0,,0.0,1621.0,0.0,948.0,1223.0,3108.0,,24.0,162.0,,,0.0,0.0,43.0,0.0,,,3938.0,55.0,,,,,,,48.0,,722.0,128.0,0.0,,86.0,1292.0,0.0,1712.0,735.0,1419.0,629.0,,,0.0,152.0,6604.0,0.0,0.0,0.0,0.0,,0.0,77.0,170.0,0.0,,0.0,,,,,,394.0,,147.0,0.0,,0.0,1209.0,1888.0,421.0,,81.0,2133.0,120.0,119.0,0.0,8.0,52.0,174.0,428.0,871.0
2012-07,,293.0,,,0.0,0.0,,0.0,1555.0,0.0,933.0,1263.0,3536.0,,24.0,185.0,,,0.0,0.0,42.0,0.0,,,5586.0,75.0,,,,,,,67.0,,791.0,164.0,0.0,,96.0,1322.0,1.0,1560.0,998.0,1511.0,731.0,,,0.0,166.0,7663.0,0.0,0.0,0.0,0.0,,0.0,73.0,173.0,0.0,71.0,0.0,,,,,,370.0,,211.0,0.0,,0.0,1363.0,1830.0,504.0,,125.0,2207.0,152.0,114.0,0.0,6.0,48.0,247.0,441.0,888.0
2012-08,,252.0,,,0.0,0.0,,0.0,2336.0,0.0,1010.0,1297.0,3247.0,,18.0,214.0,,,0.0,0.0,33.0,0.0,,,6276.0,94.0,,,,,,,65.0,,798.0,113.0,0.0,,112.0,1439.0,1.0,1350.0,978.0,1288.0,724.0,,,0.0,172.0,8620.0,0.0,0.0,0.0,0.0,,0.0,80.0,194.0,0.0,82.0,0.0,,,,,,330.0,,180.0,0.0,,0.0,1353.0,1959.0,431.0,,91.0,2268.0,205.0,124.0,0.0,6.0,46.0,362.0,361.0,791.0
2012-09,,288.0,4049.0,,0.0,0.0,,0.0,2664.0,0.0,974.0,1253.0,3320.0,,21.0,219.0,,,0.0,0.0,68.0,0.0,,,5403.0,80.0,,,,,,,103.0,,921.0,143.0,0.0,3315.0,102.0,1422.0,1.0,1565.0,1009.0,1496.0,855.0,,,0.0,163.0,7984.0,0.0,0.0,0.0,0.0,,0.0,90.0,229.0,0.0,85.0,0.0,,,,,,476.0,,192.0,0.0,,0.0,1494.0,1966.0,482.0,,95.0,2667.0,105.0,197.0,0.0,6.0,51.0,262.0,448.0,880.0
2012-10,,371.0,4257.0,,0.0,0.0,,0.0,2048.0,0.0,955.0,1343.0,2835.0,,15.0,202.0,,,0.0,0.0,56.0,0.0,,,4504.0,74.0,,,,,,,63.0,,671.0,117.0,0.0,5844.0,107.0,1385.0,2.0,1679.0,889.0,1323.0,781.0,,,0.0,163.0,6822.0,0.0,0.0,0.0,0.0,,0.0,125.0,215.0,0.0,74.0,0.0,,,,,,427.0,,175.0,0.0,,0.0,1473.0,2033.0,505.0,,85.0,2204.0,104.0,168.0,0.0,11.0,68.0,268.0,536.0,867.0
